"beverage_type","beverage_prep","cholesterol","sodium","total_carbs","sugar","protein","total_fat","vitamine_A","calcium","iron"
"Coffee","Short",0,5,0,0,0.3,0.1,0,0,0
"Coffee","Tall",0,10,0,0,0.5,0.1,0,0,0
"Coffee","Grande",0,10,0,0,1,0.1,0,0,0
"Coffee","Venti",0,10,0,0,1,0.1,0,2,0
"Classic Espresso Drinks","Short Nonfat Milk",5,75,10,9,6,0.1,10,20,0
"Classic Espresso Drinks","2% Milk",15,85,10,9,6,3.5,10,20,0
"Classic Espresso Drinks","Soymilk",0,65,6,4,5,2.5,6,20,8
"Classic Espresso Drinks","Tall Nonfat Milk",5,120,15,14,10,0.2,15,30,0
"Classic Espresso Drinks","2% Milk",25,135,15,14,10,6,15,30,0
"Classic Espresso Drinks","Soymilk",0,105,10,6,8,4.5,10,30,15
"Classic Espresso Drinks","Grande Nonfat Milk",5,150,19,18,13,0.3,20,40,0
"Classic Espresso Drinks","2% Milk",30,170,19,17,12,7,20,40,0
"Classic Espresso Drinks","Soymilk",0,130,13,8,10,5,15,40,15
"Classic Espresso Drinks","Venti Nonfat Milk",10,190,25,23,16,0.4,30,50,0
"Classic Espresso Drinks","2% Milk",35,220,24,22,16,9,25,50,0
"Classic Espresso Drinks","Soymilk",0,170,16,11,13,7,20,50,25
"Classic Espresso Drinks","Short Nonfat Milk",5,60,21,17,7,1.5,8,15,10
"Classic Espresso Drinks","2% Milk",10,70,21,17,6,4,8,15,10
"Classic Espresso Drinks","Soymilk",0,55,19,13,6,3.5,6,15,20
"Classic Espresso Drinks","Tall Nonfat Milk",5,100,32,27,10,2,15,25,20
"Classic Espresso Drinks","2% Milk",20,115,32,26,10,6,15,25,20
"Classic Espresso Drinks","Soymilk",0,85,28,20,9,5,10,25,30
"Classic Espresso Drinks","Grande Nonfat Milk",5,125,43,34,13,2.5,20,35,25
"Classic Espresso Drinks","2% Milk",25,140,42,34,13,8,15,35,25
"Classic Espresso Drinks","Soymilk",0,105,37,26,11,7,10,35,40
"Classic Espresso Drinks","Venti Nonfat Milk",10,160,54,44,17,3,25,45,30
"Classic Espresso Drinks","2% Milk",30,180,53,43,17,11,20,45,30
"Classic Espresso Drinks","Soymilk",0,140,47,33,14,9,15,45,50
"Classic Espresso Drinks","Short Nonfat Milk",5,70,19,18,6,0.1,10,20,0
"Classic Espresso Drinks","2% Milk",15,80,18,17,6,3.5,10,20,0
"Classic Espresso Drinks","Soymilk",0,60,16,13,5,2.5,6,20,8
"Classic Espresso Drinks","Tall Nonfat Milk",5,110,28,27,9,0.2,15,30,0
"Classic Espresso Drinks","2% Milk",20,125,28,27,9,5,15,30,0
"Classic Espresso Drinks","Soymilk",0,95,23,20,7,4,10,30,15
"Classic Espresso Drinks","Grande Nonfat Milk",5,140,37,35,12,0.3,20,35,0
"Classic Espresso Drinks","2% Milk",25,150,37,35,12,6,20,35,0
"Classic Espresso Drinks","Soymilk",0,120,31,26,9,5,10,35,15
"Classic Espresso Drinks","Venti Nonfat Milk",10,180,47,45,15,0.3,25,50,0
"Classic Espresso Drinks","2% Milk",35,200,46,44,15,9,25,45,0
"Classic Espresso Drinks","Soymilk",0,160,39,33,12,7,15,45,20
"Classic Espresso Drinks","Short",0,5,1,0,0.4,0,0,0,0
"Classic Espresso Drinks","Tall",0,10,2,0,1,0,0,2,0
"Classic Espresso Drinks","Grande",0,15,3,0,1,0,0,2,0
"Classic Espresso Drinks","Venti",0,15,4,0,1,0,0,2,0
"Classic Espresso Drinks","Short Nonfat Milk",5,60,8,7,5,0.1,8,15,0
"Classic Espresso Drinks","2% Milk",10,70,8,7,5,3,8,15,0
"Classic Espresso Drinks","Soymilk",0,40,4,3,3,1.5,4,10,6
"Classic Espresso Drinks","Tall Nonfat Milk",5,70,9,8,6,0.1,10,20,0
"Classic Espresso Drinks","2% Milk",15,80,9,8,6,3.5,10,20,0
"Classic Espresso Drinks","Soymilk",0,65,7,4,5,3,6,20,8
"Classic Espresso Drinks","Grande Nonfat Milk",5,90,12,10,8,0.2,15,25,0
"Classic Espresso Drinks","2% Milk",15,100,12,10,8,4,10,25,0
"Classic Espresso Drinks","Soymilk",0,80,9,5,7,3.5,8,25,10
"Classic Espresso Drinks","Venti Nonfat Milk",5,120,16,14,10,0.2,20,30,0
"Classic Espresso Drinks","2% Milk",25,135,16,14,10,6,15,30,0
"Classic Espresso Drinks","Soymilk",0,110,11,7,9,4.5,10,35,15
"Classic Espresso Drinks","Solo",0,0,1,0,0.4,0,0,0,0
"Classic Espresso Drinks","Doppio",0,1,2,0,1,0,0,0,0
"Classic Espresso Drinks","Short Nonfat Milk",5,80,9,8,6,0.1,10,20,0
"Classic Espresso Drinks","Tall Nonfat Milk",5,125,14,13,9,0.2,15,30,0
"Classic Espresso Drinks","Grande Nonfat Milk",5,160,18,16,12,0.3,20,35,0
"Classic Espresso Drinks","Venti Nonfat Milk",10,200,24,21,15,0.3,25,50,0
"Signature Espresso Drinks","Short Nonfat Milk",5,70,17,15,6,1,10,15,0
"Signature Espresso Drinks","2% Milk",15,80,16,15,5,4,10,15,0
"Signature Espresso Drinks","Soymilk",0,60,14,11,4,3,6,15,8
"Signature Espresso Drinks","Tall Nonfat Milk",5,105,25,24,8,1,15,25,0
"Signature Espresso Drinks","2% Milk",20,115,25,23,8,5,15,25,0
"Signature Espresso Drinks","Soymilk",0,90,21,17,7,4.5,10,25,10
"Signature Espresso Drinks","Grande Nonfat Milk",10,130,35,32,11,1,20,35,0
"Signature Espresso Drinks","2% Milk",25,150,34,32,10,7,15,30,0
"Signature Espresso Drinks","Soymilk",5,115,29,24,9,5,10,35,15
"Signature Espresso Drinks","Venti Nonfat Milk",10,170,43,41,13,1,25,40,0
"Signature Espresso Drinks","2% Milk",35,180,43,40,13,8,20,40,0
"Signature Espresso Drinks","Soymilk",5,140,36,31,11,7,15,40,20
"Signature Espresso Drinks","Short Nonfat Milk",5,120,31,29,7,3,10,25,0
"Signature Espresso Drinks","2% Milk",15,125,31,29,7,6,8,25,0
"Signature Espresso Drinks","Soymilk",0,110,28,25,6,5,6,25,8
"Signature Espresso Drinks","Tall Nonfat Milk",5,190,47,45,12,4.5,15,35,0
"Signature Espresso Drinks","2% Milk",20,200,46,44,11,9,15,35,0
"Signature Espresso Drinks","Soymilk",0,170,42,39,10,8,10,35,10
"Signature Espresso Drinks","Grande Nonfat Milk",10,240,61,58,15,6,20,45,2
"Signature Espresso Drinks","2% Milk",25,250,61,58,15,11,15,45,0
"Signature Espresso Drinks","Soymilk",0,220,56,51,13,10,10,45,15
"Signature Espresso Drinks","Venti Nonfat Milk",10,310,78,74,19,7,25,60,2
"Signature Espresso Drinks","2% Milk",35,330,77,74,19,15,20,60,2
"Signature Espresso Drinks","Soymilk",5,290,70,64,16,13,15,60,20
"Signature Espresso Drinks","Short Nonfat Milk",5,70,26,23,7,1.5,10,20,10
"Signature Espresso Drinks","2% Milk",15,80,26,22,7,4.5,10,20,10
"Signature Espresso Drinks","Soymilk",0,60,23,18,6,3.5,6,20,20
"Signature Espresso Drinks","Tall Nonfat Milk",5,110,37,32,11,2,15,30,20
"Signature Espresso Drinks","2% Milk",20,120,37,32,10,7,15,30,20
"Signature Espresso Drinks","Soymilk",0,95,32,25,9,6,10,30,30
